Old_ID,new_IDFULL
98020098,98201140-ep400
98020114,98200397-brca1-2
98020149,98200913-den2b
98020157,98201981-liat1-2
98020178,98208499-zn337
98020212,98200976-dpog1
98020217,98204257-tba1b-6
98020261,98203673-rx
98020307,98202702-orc1
98020308,98208125-vang1-5
98020361,98203995-skp1
98020377,98201161-eric3
98020413,98204805-ube3a
98020462,98203080-psb4
98020467,98204950-unknown-11394
98020481,98200826-cwc22-3
98020507,98204951-unknown-9669
98020578,98200939-djb12-2
98020610,98204952-unknown-10386
98020633,98203692-s18b1-10
98020673,98203863-sc6a1-3
98020676,98204210-sylc
98020694,98202510-my18b
98020730,98204423-tif1b-23
98020732,98204953-unknown-11030
98020750,98204954-unknown-11359
98020762,98204955-unknown-11286
98020769,98208265-zdh16-2
98020775,98208282-zfr2-5
98020920,98201742-ikzf4
98020944,98208264-zdh14
98020999,98200380-big2
98021000,98203910-sesn1
98021002,98204956-unknown-11903
98021003,98202614-noc2l
98021031,98201352-gata-2
98021034,98200546-cd5r1
98021055,98204957-unknown-11378
98021094,98201313-fxl17-5
98021173,98139564-trim2
98021182,98208712-zn729-19
98021207,98204958-unknown-11164
98021220,98204959-unknown-10495
98021270,98201167-espl1
98021354,98203095-pth1r
98021462,98204960-unknown-11059
98021464,98200188-af10-3
98021502,98201605-helz
98021560,98201904-kime
98021598,98203800-s28a2-3
98021617,98200406-brx1
98021631,98202255-lrp5/6
98021679,98202433-mrc2-2
98021693,98201216-fat4-2
98021726,98204240-tadbp-2
98021793,98203908-serc
98021859,98208108-upp
98021940,98201014-dyh7-2
98021950,98203677-s12a3
98021957,98200871-dcaf1
98021974,98201195-f177a
98022002,98204667-trim3-22
98022011,98201987-lin7b
98022026,98204249-tasp1
98022117,98204961-unknown-9670
98022191,98200769-cpln1
98022195,98204962-unknown-11058
98022213,98204201-suv3
98022313,98203164-rad17
98022379,98201783-ita6
98022526,98204963-unknown-9839
98022552,98204964-unknown-9935
98022565,98204318-tbpl1
98022627,98204965-unknown-11224
98022654,98204966-unknown-10104
98022704,98203087-psmd3
98022859,98201225-fbx7
98022861,98200516-ccd18
98022927,98200900-ddx42
98022930,98204967-unknown-10922
98022944,98204957-unknown-11378
98023052,98200944-dlx5
98023069,98208215-xpo1
98023072,98201275-fpr1
98023081,98200844-cyfp2-2
98023082,98203026-prd14
98023119,98204968-unknown-10989
98023126,98204117-srbp2
98023132,98200741-cp2c8-12
98023172,98201111-elov2
98023256,98201769-ipmk-2
98023266,98200468-capr1
98023323,98200375-baz1b
98023365,98202739-oxa1l
98023425,98208647-zn541
98023511,98203795-s2611
98023569,98204969-unknown-11261
98023589,98203888-scpdl-3
98023606,98202814-ped1a
98023610,98200015-4et
98023618,98204970-unknown-10083
98023731,98200323-at133
98023733,98203024-prc2b
98023748,98202204-lrp2-5
98023777,98204971-unknown-10045
98023785,98201325-fz-5
98023787,98201585-hacd3-2
98023848,98200497-cbll2
98023868,98203835-sacs-17
98023889,98204016-smd3
98023894,98203025-prd10
98023911,98204972-unknown-9671
98023947,98200717-copb
98023962,98200776-cpped
98023967,98204317-tbl3
98023978,98200911-dele1-2
98023984,98203804-s35a3-4
98023988,98208198-wdr70
98023991,98202469-mspd2-11
98023999,98201723-if4e
98024025,98200472-carme-2
98024090,98204973-unknown-9672
98024104,98200194-ago1
98024105,98201753-imp4
98024206,98201472-gpr19
98024227,98202410-mocs3
98024280,98204974-unknown-12352
98024355,98201001-dus16-3
98024364,98204975-unknown-12519
98024471,98200421-bud31
98024635,98201194-f161b
98024677,98200751-cp2e1
98024737,98203541-rpr1b
98024779,98204976-unknown-9673
98024783,98201450-gors2
98024853,98203074-psa2
98024895,98204977-unknown-11029
98025015,98201653-hpgds-37
98025047,98204695-trm61
98025049,98208116-uxt
98025069,98203878-scnna-3
98025090,98201604-helq
98025152,98201374-gcp3
98025183,98201654-hpgds-35
98025256,98202568-nduv1
98025324,98201345-galt4
98025346,98200195-ago2
98025358,98204978-unknown-11717
98025374,98204211-symm
98025415,98203693-s18b1-14
98025420,98204979-unknown-10100
